PersonNumber;FirstName;LastName;FullName;PartyAbbreviation;PartyName;ParlGroupAbbreviation;ParlGroupName;CantonAbbreviation;CantonName;CouncilAbbreviation;CouncilName;Active;DetailLoaded;DateOfBirth;MaritalStatus;NumberOfChildren;BirthPlaceCity;BirthPlaceCanton;Citizenship;Nationality;DateJoining;DateLeaving;DateElection;MilitaryRank;LinksRechts;KonservativLiberal;LiberaleWirtschaft;InnovativerStandort;UnabhaengigeStromversorgung;StaerkeResilienz;SchlankerStaat;HasAnalysis
10808;Heinz;Theiler;Heinz Theiler;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;SZ;Schwyz;NR;Nationalrat;1;1;1970-11-12;;;Zug;ZG;Entlebuch (LU);Schweiz;2023-12-04;;2023-10-22;Gefreiter;0.70;0.40;0.80;0.70;0.60;0.90;0.80;1
4221;Michael;Töngi;Michael Töngi;GRÜNE;;G;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.70;0.80;0.20;0.40;0.70;0.20;0.10;1
4128;Aline;Trede;Aline Trede;GRÜNE;;G;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.80;0.10;0.10;1
10827;Jean;Tschopp;Jean Tschopp;SP;;S;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.40;0.20;0.10;1
4175;Mauro;Tuena;Mauro Tuena;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.60;0.70;0.90;0.80;1
10825;Brenda;Tuosto;Brenda Tuosto;SP;;S;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.70;0.20;0.10;1
4065;Nadja;Umbricht Pieren;Nadja Umbricht Pieren;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.80;0.60;0.70;0.70;0.80;1
4242;Céline;Vara;Céline Vara;GRÜNE;;G;;NE;;SR;Ständerat;0;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.80;0.10;0.10;1
10806;Kris;Vietze;Kris Vietze;FDP-Liberale;;RL;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.70;0.90;0.80;0.60;0.50;0.90;1
4296;Susanne;Vincenz-Stauffacher;Susanne Vincenz-Stauffacher;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;SG;St. Gallen;NR;Nationalrat;1;0;1967-01-21;verheiratet;2;Wattwil;SG;Glarus Süd (GL),Glarus Süd (GL),Trun (GR);Schweiz,Schweiz;2023-12-04;;2023-10-22;;0.60;0.70;0.80;0.80;0.90;0.70;0.80;1
4324;Patricia;von Falkenstein;Patricia von Falkenstein;LDP;Liberal-Demokratische Partei;RL;FDP-Liberale Fraktion;BS;Basel-Stadt;NR;Nationalrat;1;0;1961-04-11;ledig;2;Zürich;ZH;Basel (BS),Aarau (AG);Schweiz;2023-12-04;;2023-10-22;;0.60;0.70;0.80;0.70;0.60;0.50;0.70;1
10838;Erich;Vontobel;Erich Vontobel;EDU;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.80;0.60;0.30;0.50;0.70;0.80;1
4297;Nicolas;Walder;Nicolas Walder;GRÜNE;;G;;GE;;NR;Nationalrat;0;0;;;;;;;;;;;;-0.70;0.80;0.20;0.50;0.80;0.20;0.10;1
4177;Bruno;Walliser;Bruno Walliser;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.90;0.60;0.50;0.90;0.90;1
4142;Beat;Walti;Beat Walti;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;ZH;Zürich;NR;Nationalrat;1;0;1971-02-10;;;Bauma;ZH;Dürrenäsch (AG),Zollikon (ZH);Schweiz;2023-12-04;;2023-10-22;Oberleutnant aD;0.60;0.40;0.90;0.80;0.60;0.70;0.80;1
10834;Ernst;Wandfluh;Ernst Wandfluh;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.40;0.50;0.70;0.60;1
4224;Flavia;Wasserfallen;Flavia Wasserfallen;SP;;S;;BE;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.50;0.70;0.30;0.10;1
3912;Christian;Wasserfallen;Christian Wasserfallen;FDP-Liberale;;RL;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.50;0.80;0.70;0.90;0.60;0.80;1
4323;Céline;Weber;Céline Weber;glp;;GL;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.15;0.70;0.75;0.85;0.80;0.40;0.60;1
4194;Laurent;Wehrli;Laurent Wehrli;FDP-Liberale;;RL;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.20;0.80;0.70;0.60;0.50;0.70;1
4298;Manuela;Weichelt;Manuela Weichelt;Al;;G;;ZG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.80;0.10;0.30;0.80;0.10;0.10;1
4057;Cédric;Wermuth;Cédric Wermuth;SP;;S;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.80;0.10;0.30;0.60;0.20;0.10;1
4299;Felix;Wettstein;Felix Wettstein;GRÜNE;;G;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.80;0.20;0.30;1
4152;Hans;Wicki;Hans Wicki;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;NW;Nidwalden;SR;Ständerat;1;0;1975-11-15;verheiratet;2;Luzern;LU;Menznau (LU),Horw (LU);Schweiz;2023-12-04;;2023-10-22;Hauptmann;0.60;0.40;0.90;0.70;0.50;0.80;0.80;1
4300;Céline;Widmer;Céline Widmer;SP;;S;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.50;0.30;0.10;1
4305;Priska;Wismer-Felder;Priska Wismer-Felder;M-E;;M-E;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.10;0.20;0.60;0.80;0.90;0.40;0.50;1
4237;Benedikt;Würth;Benedikt Würth;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;SG;St. Gallen;SR;Ständerat;1;0;1971-12-14;;;St. Gallen;SG;Rapperswil-Jona (SG),Berg (SG) (SG);Schweiz,Italien;2023-12-04;;2023-10-22;Korporal;0.20;0.30;0.70;0.80;0.60;0.50;0.40;1
4318;Sarah;Wyss;Sarah Wyss;SP;;S;;BS;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.30;0.10;0.10;1
10846;Rémy;Wyssmann;Rémy Wyssmann;SVP;;V;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.40;0.60;0.70;0.90;1
4243;Heidi;Z'graggen;Heidi Z'graggen;M-E;;M-E;;UR;;SR;Ständerat;1;0;;;;;;;;;;;;0.30;-0.20;0.70;0.60;0.60;0.70;0.50;1
4244;Mathias;Zopfi;Mathias Zopfi;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;GL;Glarus;SR;Ständerat;1;0;1983-12-14;;;Glarus;--;Schwanden GL (GL);Schweiz;2023-12-04;;2023-10-22;Major;-0.40;0.20;0.40;0.50;0.60;0.60;0.30;1
10851;Andrea;Zryd;Andrea Zryd;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;BE;Bern;NR;Nationalrat;1;0;1975-10-24;ledig;2;Adelboden;BE;;Schweiz;2023-12-04;;2023-10-22;-;-0.70;0.30;0.20;0.40;0.50;0.60;0.10;1
4179;David;Zuberbühler;David Zuberbühler;SVP;;V;;AR;;NR;Nationalrat;0;0;;;;;;;;;;;;0.80;-0.80;0.70;0.50;0.60;0.90;0.80;1
10822;Ursula;Zybach;Ursula Zybach;SP;;S;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.30;0.60;0.50;0.20;0.10;1
